"Player_name","Team","Level","c.IP","N","HR_9","Kpct","BBpct","DER","ERA","FIP","K_BB","ID","Diff"
"カスティーヨ","L","Top",74.3,330,0.61,15.5,13.6,0.752,4.48,4.54,1.9,"カスティーヨ L",-59.6
"カストロ","H","Farm",43.7,185,0,16.2,12.4,0.746,2.06,3.21,3.8,"カストロ H",NA
"カストロ","H","Top",3,14,3,14.3,0,0.636,6,5.62,14.3,"カストロ H",NA
"ガブリエル","G","Farm",14,67,1.29,7.5,7.5,0.648,5.79,5.44,0,"ガブリエル G",NA
"カブレラ","D","Farm",33.7,130,0.274,31.5,3.8,0.72,2.4,1.48,27.7,"カブレラ D",NA
"カブレラ","D","Top",193.7,834,0.464,18.8,9,0.697,3.49,3.28,9.8,"カブレラ D",NA
"カミネロ","G","Farm",9,35,0,20,5.7,0.769,1,2.05,14.3,"カミネロ G",-73
"カミネロ","G","Top",82,358,0.547,23.5,8.1,0.667,3.19,2.89,15.4,"カミネロ G",-73
"カラシティー","S","Farm",9,42,0,19,4.8,0.594,2,1.84,14.2,"カラシティー S",-85.7
"カラシティー","S","Top",94.7,420,0.67,17.4,10.2,0.719,4.18,3.9,7.2,"カラシティー S",-85.7
"ガラテ","F","Farm",10.3,47,0.87,27.7,8.5,0.714,2.61,3.04,19.2,"ガラテ F",NA
"ガラテ","F","Top",26.3,116,0,16.4,14.7,0.733,1.71,3.65,1.7,"ガラテ F",NA
"ガルシア","D","Farm",3,12,0,41.7,0,0.429,3,-0.38,41.7,"ガルシア D",-165.7
"ガルシア","D","Top",168.7,711,0.69,18.6,10.3,0.731,2.99,3.86,8.3,"ガルシア D",-165.7
"ガルセス","L","Farm",33,131,0.82,29,5.3,0.711,3.55,2.45,23.7,"ガルセス L",2
"ガルセス","L","Top",31,140,1.45,15,12.9,0.745,6.39,5.59,2.1,"ガルセス L",2
"カルロス・ロサ","M","Farm",55,212,0.518,21.2,8.5,0.746,1.8,2.95,12.7,"カルロス・ロサ M",NA
"カルロス・ロサ","M","Top",133.4,579,0.955,18.8,7.8,0.693,3.44,3.64,11.1,"カルロス・ロサ M",NA
"カンポス","C","Farm",27.3,118,1.65,22.9,12.7,0.775,3.95,5,10.2,"カンポス C",26.3
"カンポス","C","Top",1,4,0,0,25,0.667,0,6.02,-25,"カンポス C",26.3
"キャンデラリオ","L","Farm",65,285,0.97,17.9,10.5,0.692,4.98,4.24,7.4,"キャンデラリオ L",62
"キャンデラリオ","L","Top",3,19,6,31.6,10.5,0.222,21,9.58,21.1,"キャンデラリオ L",62
"ギルメット","S","Farm",35.3,147,1.02,21.8,3.4,0.67,3.06,3.02,18.4,"ギルメット S",-19.4
"ギルメット","S","Top",54.7,228,0.66,25,6.6,0.698,3.62,2.66,18.4,"ギルメット S",-19.4
"グライシンガー","M","Farm",36,136,0.252,17.6,6.6,0.765,1.75,2.68,11,"グライシンガー M",NA
"グライシンガー","M","Top",240,969,0.501,16.9,4,0.724,2.92,2.62,12.9,"グライシンガー M",NA
"クライン","DB","Farm",18,81,0.5,25.9,12.3,0.667,4.5,3.15,13.6,"クライン DB",-18
"クライン","DB","Top",36,163,1.25,16.6,13.5,0.717,4.75,5.3,3.1,"クライン DB",-18
"クルーズ","E","Farm",11,43,0,27.9,2.3,0.7,0,1.08,25.5,"クルーズ E",NA
"クルーズ","E","Top",78.3,354,0.462,18.6,13,0.698,3.45,3.78,5.7,"クルーズ E",NA
"クレイマー","DB","Farm",9.7,47,0,10.6,19.1,0.625,8.38,4.93,-8.5,"クレイマー DB",NA
"クレイマー","DB","Top",8.3,48,2.16,10.4,12.5,0.571,10.8,6.7,-2.1,"クレイマー DB",NA
"クロッタ","F","Farm",19,75,0,16,8,0.746,2.84,2.86,8,"クロッタ F",NA
"クロッタ","F","Top",87,386,0.624,14,9.1,0.711,3.93,3.91,4.9,"クロッタ F",NA
"ケッペル","F","Farm",35,157,0.802,12.1,8.9,0.684,5.14,4.21,3.2,"ケッペル F",NA
"ケッペル","F","Top",42.7,202,0.626,9,10.9,0.677,6.54,4.75,-1.9,"ケッペル F",NA
"ケムナ　誠","C","Farm",21.7,96,0.42,15.6,11.5,0.731,4.57,3.96,4.1,"ケムナ　誠 C",21.7
"コーク","Bs","Farm",11,51,0,11.8,13.7,0.684,4.91,3.75,-1.9,"コーク Bs",-12.7
"コーク","Bs","Top",23.7,106,0.76,15.1,9.4,0.636,4.56,4.06,5.7,"コーク Bs",-12.7
"コーコラン","DB","Farm",22.7,109,0.4,17.4,12.8,0.722,4.37,4.06,4.6,"コーコラン DB",NA
"コーコラン","DB","Top",33.7,155,1.87,9,11.6,0.681,5.61,6.63,-2.6,"コーコラン DB",NA
"コーディエ","Bs","Farm",20,97,0.45,22.7,17.5,0.691,5.85,4.31,5.2,"コーディエ Bs",NA
"コーディエ","Bs","Top",12.3,63,1.46,22.2,23.8,0.719,7.3,6.44,-1.6,"コーディエ Bs",NA
"コラレス","E","Farm",41,192,0.441,20.8,14.1,0.634,4.39,3.6,6.7,"コラレス E",38
"コラレス","E","Top",3,20,0,15,30,0.5,15,7.91,-15,"コラレス E",38
"ゴンザレス","G","Farm",11,55,2.45,9.1,7.3,0.698,9.82,6.86,1.8,"ゴンザレス G",NA
"ゴンザレス","G","Top",45,206,0.4,12.6,10.7,0.611,3.2,3.64,1.9,"ゴンザレス G",NA
"ゴンザレス","L","Farm",53.3,218,0.34,19.7,7.3,0.698,2.7,2.64,12.4,"ゴンザレス L",NA
"ゴンザレス","L","Top",23,121,0.78,13.2,9.9,0.611,7.04,3.92,3.3,"ゴンザレス L",NA
"ゴンザレス","M","Farm",82.3,339,0.22,10.3,5.3,0.714,2.73,3.07,5,"ゴンザレス M",NA
"ゴンザレス","M","Top",13.3,70,0.68,11.4,2.9,0.526,8.1,3.56,8.5,"ゴンザレス M",NA
"ザガースキー","C","Farm",33.3,130,0,28.5,10,0.775,1.89,1.8,18.5,"ザガースキー C",NA
"ザガースキー","C","Top",15,66,0.6,24.2,10.6,0.714,2.4,2.95,13.6,"ザガースキー C",NA
"ザガースキー","DB","Farm",18,71,0,36.6,9.9,0.658,2,1.29,26.7,"ザガースキー DB",NA
"ザガースキー","DB","Top",32.7,151,0.83,22.5,12.6,0.642,4.96,3.81,9.9,"ザガースキー DB",NA
"サターホワイト","T","Farm",7,26,0,46.2,7.7,0.75,0,0.44,38.5,"サターホワイト T",NA
"サターホワイト","T","Top",21,88,0,20.5,9.1,0.694,2.57,2.38,11.4,"サターホワイト T",NA
"サファテ","C","Farm",4,13,0,23.1,0,0.8,0,1.36,23.1,"サファテ C",NA
"サファテ","C","Top",49.7,221,0.18,19.9,10.9,0.712,2.9,2.92,9,"サファテ C",NA
"サファテ","H","Top",267.3,1007,0.364,37.9,6,0.737,1.31,1.28,32,"サファテ H",-72
"サファテ","L","Top",57.7,229,0.62,28.8,10.5,0.808,1.87,2.9,18.3,"サファテ L",NA
"ザラテ","T","Farm",46.6,190,0.395,30.5,8.4,0.721,1.93,2.17,22.1,"ザラテ T",NA
"ザラテ","T","Top",3.7,21,0,14.3,14.3,0.6,7.35,3.57,0,"ザラテ T",NA
"サンティアゴ","T","Farm",56.3,246,0.16,14.6,7.7,0.663,3.2,2.81,6.9,"サンティアゴ T",NA
"サンティアゴ","T","Top",16.7,76,1.08,9.2,9.2,0.7,4.32,4.79,0,"サンティアゴ T",NA
"ジー","D","Top",27,111,1.67,14.4,6.3,0.741,4,5.24,8.1,"ジー D",-27
"シェッパーズ","M","Farm",56.3,247,0.8,23.5,6.1,0.659,4.15,3.11,17.4,"シェッパーズ M",18.6
"シェッパーズ","M","Top",37.7,171,0.48,19.9,9.9,0.623,4.54,3.26,10,"シェッパーズ M",18.6
"ジオ","DB","Farm",30,131,0.3,13,7.6,0.696,4.5,3.26,5.4,"ジオ DB",NA
"ジオ","DB","Top",39,179,0.46,23.5,10.1,0.617,3.92,2.67,13.4,"ジオ DB",NA
"シコースキー","L","Farm",4,19,0,15.8,15.8,0.615,6.75,3.67,0,"シコースキー L",NA
"ジャクソン","C","Farm",6,26,0,38.5,7.7,0.643,3,0.62,30.8,"ジャクソン C",-101.7
"ジャクソン","C","Top",176,715,0.781,26.8,9.5,0.734,2.1,3.06,17.3,"ジャクソン C",-101.7
"ジュリアス","S","Farm",13.3,72,0.669,15.3,25,0.659,6.08,6.56,-9.7,"ジュリアス S",12.3
"シュリッター","L","Top",63.7,269,0.14,8.6,10.8,0.735,2.83,3.72,-2.2,"シュリッター L",-63.7
"シュルツ","Bs","Farm",16.7,80,0,11.2,17.5,0.719,4.86,4.36,-6.3,"シュルツ Bs",NA
"シュルツ","Bs","Top",1,3,0,33.3,0,1,0,0.88,33.3,"シュルツ Bs",NA
"ジョーダン","D","Farm",7,29,0,24.1,13.8,0.722,1.29,2.7,10.3,"ジョーダン D",-72.3
"ジョーダン","D","Top",195.3,833,0.648,20.9,10.7,0.725,3.5,3.67,10.2,"ジョーダン D",-72.3
"ジョンソン","C","Farm",30,122,0.298,24.6,6.6,0.704,2.4,2.36,18,"ジョンソン C",-191
"ジョンソン","C","Top",595.6,2446,0.441,18.7,7.7,0.722,2.52,3,11,"ジョンソン C",-191
"スアレス","H","Farm",24.3,97,0.365,30.9,7.2,0.707,2.22,2.03,23.7,"スアレス H",5.3
"スアレス","H","Top",63.7,274,0.851,27,8.4,0.651,3.68,2.9,18.6,"スアレス H",5.3
"スタンリッジ","H","Farm",18,79,0,11.4,10.1,0.705,2,3.35,1.3,"スタンリッジ H",NA
"スタンリッジ","H","Top",316.3,1342,0.712,15.6,7.5,0.716,3.5,3.74,8.1,"スタンリッジ H",NA
"スタンリッジ","M","Farm",51,200,0.174,19.5,7,0.752,1.06,2.55,12.5,"スタンリッジ M",-33
"スタンリッジ","M","Top",239,1035,0.831,14.6,8,0.697,3.8,4.03,6.5,"スタンリッジ M",-33
"スタンリッジ","T","Farm",4,19,0,10.5,5.3,0.562,11.25,2.67,5.2,"スタンリッジ T",NA
"スタンリッジ","T","Top",311,1296,0.579,17.4,7.1,0.707,2.72,3.13,10.3,"スタンリッジ T",NA
"セドン","G","Farm",52,223,1.38,14.8,9,0.723,4.33,5.1,5.8,"セドン G",NA
"セドン","G","Top",52,226,0.87,16.4,8.8,0.677,4.67,3.98,7.5,"セドン G",NA
"セプティモ","D","Farm",26.7,111,0.34,10.8,9.9,0.779,2.03,3.95,0.9,"セプティモ D",NA
"セプティモ","D","Top",6.3,30,0,3.3,10,0.692,4.26,4.06,-6.7,"セプティモ D",NA
"ソーサ","D","Top",63.3,260,0.14,19.2,7.3,0.714,1.85,2,11.9,"ソーサ D",NA
"ソーサ","DB","Farm",9,41,0,29.3,7.3,0.538,4,1.37,22,"ソーサ DB",NA
"ソーサ","DB","Top",84,367,0.448,18.5,9.5,0.682,2.68,3.17,9,"ソーサ DB",NA
"ソコロビッチ","C","Farm",14,57,0,19.3,10.5,0.725,1.29,2.63,8.8,"ソコロビッチ C",NA
"ソコロビッチ","C","Top",11.3,42,0,14.3,9.5,0.812,0.79,2.88,4.8,"ソコロビッチ C",NA
"ソト","D","Farm",14,61,0,11.5,6.6,0.694,1.93,2.93,4.9,"ソト D",NA
"ソト","D","Top",62.3,246,0.43,19.5,8.5,0.756,2.17,2.71,11,"ソト D",NA
"ソト","DB","Farm",39,165,0,18.2,6.1,0.697,2.77,2.41,12.1,"ソト DB",NA
"ソト","DB","Top",53.7,254,0.843,12.6,11,0.651,6.21,4.74,1.6,"ソト DB",NA
"ソリマン","G","Farm",46.7,217,0.985,17,17.5,0.727,4.44,5.55,-0.5,"ソリマン G",14
"ソン・チャーホウ","E","Farm",62.7,254,0.57,16.5,3.9,0.702,2.44,2.98,12.6,"ソン・チャーホウ E",NA
"ダックワース","E","Farm",43,189,0.629,15.8,7.9,0.664,4.81,3.53,7.9,"ダックワース E",NA
"ダックワース","E","Top",124,542,0.939,15.9,8.3,0.719,3.99,4.04,7.6,"ダックワース E",NA
"タバーレス","C","Farm",19.7,93,0.46,12.9,8.6,0.611,7.32,3.61,4.3,"タバーレス C",19.7
"チェン・グァンユウ","M","Farm",203,865,0.631,16.6,6.9,0.693,3.5,3.45,9.7,"チェン・グァンユウ M",-42.3
"チェン・グァンユウ","M","Top",190.3,811,0.852,19.2,10.5,0.702,3.5,3.87,8.8,"チェン・グァンユウ M",-42.3
"デ　ヘスス","C","Farm",25.7,120,0.35,18.3,6.7,0.64,4.21,2.92,11.6,"デ　ヘスス C",NA
"ディクソン","Bs","Farm",35,128,0.52,23.4,3.9,0.756,1.54,2.49,19.5,"ディクソン Bs",-207
"ディクソン","Bs","Top",821,3487,0.529,17.3,8.3,0.694,3.33,3.35,9,"ディクソン Bs",-207
"デイビーズ","S","Farm",30.3,122,0.59,20.5,10.7,0.802,2.97,3.6,9.8,"デイビーズ S",NA
"デイビーズ","S","Top",82,361,1.54,17.7,8.6,0.717,4.39,4.86,9.1,"デイビーズ S",NA
"デラバー","C","Farm",19.3,91,1.86,23.1,14.3,0.725,6.52,5.85,8.8,"デラバー C",NA
"デラバー","C","Top",2,6,0,66.7,0,1,0,-1.05,66.7,"デラバー C",NA
"ドイル","H","Farm",41,164,0.22,18.9,4.3,0.75,1.54,2.25,14.6,"ドイル H",NA
"ドイル","H","Top",12.7,60,0.71,11.7,15,0.69,3.55,4.91,-3.3,"ドイル H",NA
"トーマス","F","Farm",19.7,100,0,17,11,0.592,9.61,3.02,6,"トーマス F",NA
"トーマス","F","Top",10.3,53,0,11.3,17,0.649,8.71,4.63,-5.7,"トーマス F",NA
"トラヴィス","DB","Farm",1,4,0,0,0,0.75,0,3.04,0,"トラヴィス DB",NA
"トラヴィス","T","Farm",5.7,22,0,27.3,22.7,0.727,0,3.43,4.5,"トラヴィス T",NA
"ドリス","T","Farm",12.3,45,0.72,24.5,8.9,0.793,1.46,3.25,15.6,"ドリス T",-115.7
"ドリス","T","Top",150.7,626,0.303,28.3,8,0.697,2.63,2.08,20.3,"ドリス T",-115.7
"トンキン","F","Farm",1,5,0,0,20,0.75,0,5.95,-20,"トンキン F",-50
"トンキン","F","Top",51,226,0.35,14.6,10.2,0.73,3.71,3.89,4.4,"トンキン F",-50
"ナーブソン","S","Farm",12,56,0.75,16.1,7.1,0.619,3.75,3.62,9,"ナーブソン S",NA
"ナーブソン","S","Top",137,593,1.05,16.2,8.9,0.718,4.53,4.32,7.3,"ナーブソン S",NA
"ネイラー","D","Farm",17,74,0.523,21.6,6.8,0.667,1.59,2.88,14.9,"ネイラー D",NA
"ネイラー","D","Top",89,383,0.81,19.6,9.7,0.711,4.15,3.83,9.9,"ネイラー D",NA
"ネルソン","D","Farm",22,77,0.41,18.2,2.6,0.833,0.82,2.45,15.6,"ネルソン D",NA
"ネルソン","D","Top",11.3,54,0.79,14.8,13,0.658,7.15,4.2,1.8,"ネルソン D",NA
"バース","F","Farm",7,27,2.57,25.9,3.7,0.875,2.57,5.58,22.2,"バース F",NA
"バース","F","Top",103.7,452,0.61,15.7,10.4,0.702,3.65,3.82,5.3,"バース F",NA
"バーネット","S","Farm",10,37,0,16.3,0,0.774,0.9,1.76,16.3,"バーネット S",NA
"バーネット","S","Top",189.6,767,0.623,27.6,7.8,0.722,2.8,2.46,19.8,"バーネット S",NA
"ハーマン","E","Top",98.3,405,0.926,25.2,7.4,0.711,2.38,3.22,17.7,"ハーマン E",-98.3
"バイエスタス","Bs","Farm",27.7,129,0.33,7,14.7,0.717,5.86,4.85,-7.7,"バイエスタス Bs",NA
"ハイメ","D","Farm",6,27,0,22.2,25.9,0.571,3,4.51,-3.7,"ハイメ D",NA
"ハウザー","E","Farm",77,329,0.574,21.3,10.6,0.732,2.8,3.39,10.7,"ハウザー E",NA
"ハウザー","E","Top",85.6,364,0.749,16.8,9.3,0.733,4.42,3.81,7.4,"ハウザー E",NA
"バスケス","L","Farm",23,92,0,20.6,9.8,0.783,1.56,3.04,10.8,"バスケス L",NA
"バスケス","L","Top",51,236,0.35,14.4,13.6,0.69,4.23,3.98,0.8,"バスケス L",NA
"パットン","DB","Farm",8,30,0,33.3,6.7,0.556,0,1.19,26.7,"パットン DB",-108
"パットン","DB","Top",116,482,0.541,27.6,7.3,0.674,2.64,2.31,20.3,"パットン DB",-108
"パディーヤ","H","Farm",13,56,0.69,12.5,3.6,0.711,2.77,3.53,8.9,"パディーヤ H",NA
"パディーヤ","H","Top",58.7,245,0.46,16.3,6.9,0.736,3.84,3.41,9.4,"パディーヤ H",NA
"ハフ","S","Farm",15.3,57,0.59,29.8,3.5,0.757,1.76,1.97,26.3,"ハフ S",-79
"ハフ","S","Top",94.3,411,1.24,19,6.6,0.679,4.87,4.08,12.4,"ハフ S",-79
"ハミルトン","DB","Farm",6.7,34,1.35,17.6,5.9,0.542,8.1,4.36,11.7,"ハミルトン DB",NA
"ハミルトン","DB","Top",13.3,59,1.35,13.6,8.5,0.674,7.43,4.27,5.1,"ハミルトン DB",NA
"ハモンド","Bs","Farm",36,159,0.5,10.7,8.2,0.701,4,3.78,2.5,"ハモンド Bs",NA
"パヤノ","D","Farm",7.3,34,0,32.4,17.6,0.562,3.68,2.91,14.8,"パヤノ D",NA
"パヤノ","D","Top",24.3,104,0.74,25,15.4,0.786,2.59,4.4,9.6,"パヤノ D",NA
"バリオス","DB","Farm",53.3,231,0.51,16,7.4,0.69,3.71,3.25,8.6,"バリオス DB",-0.7
"バリオス","DB","Top",54,228,0.17,17.1,5.3,0.707,3.33,2.6,11.8,"バリオス DB",-0.7
"バリオス","H","Farm",66.3,280,0.156,18.2,8.2,0.708,2.58,2.79,10,"バリオス H",NA
"バリオス","H","Top",63.1,287,0.431,21.3,9.8,0.599,4.43,2.88,11.5,"バリオス H",NA
"バリントン","Bs","Farm",40,163,0.45,15.3,4.9,0.728,2.48,3.07,10.4,"バリントン Bs",NA
"バリントン","Bs","Top",73.7,305,0.37,15.1,7.9,0.746,3.3,3.4,7.2,"バリントン Bs",NA
"バリントン","C","Top",480.1,2009,0.735,16.9,5.8,0.712,3.6,3.33,11.1,"バリントン C",NA
"バルデス","D","Farm",23,89,0.809,20.2,3.4,0.742,2.35,2.88,16.8,"バルデス D",-135
"バルデス","D","Top",404.7,1719,0.803,16.2,7.1,0.72,3.49,3.7,9.1,"バルデス D",-135
"バンデンハーク","H","Farm",83,323,0.429,28.5,4.3,0.722,1.63,1.83,24.1,"バンデンハーク H",-280.7
"バンデンハーク","H","Top",466,1902,1.144,26.3,7.6,0.733,3.52,3.46,18.7,"バンデンハーク H",-280.7
"バンヘッケン","L","Farm",28.3,112,0.32,28.6,8.9,0.765,0.95,2.37,19.7,"バンヘッケン L",NA
"バンヘッケン","L","Top",45.7,218,0.59,16.1,11.9,0.632,6.31,4.11,4.2,"バンヘッケン L",NA
"ヒース","C","Farm",15.7,57,0,33.3,7,0.823,0,1.27,26.3,"ヒース C",NA
"ヒース","C","Top",91.4,376,0.59,25,10.4,0.72,2.37,2.94,14.7,"ヒース C",NA
"ヒース","L","Farm",5,24,1.8,25,16.7,0.692,3.6,5.55,8.3,"ヒース L",-34.7
"ヒース","L","Top",39.7,158,0.91,33.5,5.1,0.733,2.5,2.49,28.4,"ヒース L",-34.7
"ヒメネス","E","Farm",6.7,33,0,15.2,6.1,0.577,9.45,2.26,9.1,"ヒメネス E",NA
"ヒメネス","E","Top",108.7,460,0.5,13.7,8.5,0.722,3.15,3.39,5.2,"ヒメネス E",NA
"ビロウ","DB","Farm",41,171,0.44,16.4,7,0.729,3.51,2.99,9.4,"ビロウ DB",NA
"ビロウ","DB","Top",1.3,11,0,0,45.5,0.667,33.75,14.06,-45.5,"ビロウ DB",NA
"ピント","H","Farm",36.3,154,0.5,22.1,12.3,0.755,2.97,3.69,9.8,"ピント H",NA
"ピント","H","Top",7.3,39,1.23,15.4,17.9,0.667,7.36,6.03,-2.5,"ピント H",NA
"ファイフ","L","Farm",52,197,0.17,15.2,4.6,0.735,1.21,2.66,10.6,"ファイフ L",31
"ファイフ","L","Top",21,108,0.86,10.2,12,0.625,6.86,5.25,-1.8,"ファイフ L",31
"ファルケンボーグ","E","Top",37.7,151,0.48,29.8,5.3,0.691,2.87,2.1,24.5,"ファルケンボーグ E",NA
"ファルケンボーグ","H","Farm",6,30,0,23.3,10,0.5,9,2.07,13.3,"ファルケンボーグ H",NA
"ファルケンボーグ","H","Top",62.7,241,0.72,31.1,10,0.806,1.87,2.72,21.1,"ファルケンボーグ H",NA
"ファンミル","E","Farm",32.7,149,0.55,15.4,10.7,0.648,4.68,4.17,4.7,"ファンミル E",NA
"ファンミル","E","Top",8.7,39,0,17.9,17.9,0.708,4.15,4.16,-0.1,"ファンミル E",NA
"フィガロ","Bs","Farm",28.7,125,0.31,18.4,4,0.684,4.08,2.34,14.4,"フィガロ Bs",NA
