"Player_name","Team","Level","IP","N","HR_9","Kpct","BBpct","DER","ERA","FIP","K_BB","ID","Diff"
"綾部　翔","DB","Farm",106.7,459,1.011,18.5,8.5,0.698,4.72,3.97,10,"綾部　翔 DB",106.7
"安江　嘉純","M","Farm",62.3,262,0.87,13.4,6.5,0.738,3.61,3.97,6.9,"安江　嘉純 M",62.3
"安樂　智大","E","Farm",81.7,334,0.881,19.8,4.5,0.704,3.3,3.26,15.3,"安樂　智大 E",-53.6
"伊藤　準規","D","Farm",117.7,509,0.621,15.5,9,0.688,3.67,3.91,6.5,"伊藤　準規 D",42.4
"伊藤　祐介","H","Farm",67,275,0.278,19.3,11.6,0.737,3.22,3.28,7.6,"伊藤　祐介 H",67
"伊藤　和雄","T","Farm",59.7,250,0.455,28.8,7.6,0.662,3.62,2.25,21.2,"伊藤　和雄 T",39.7
"井口　和朋","F","Farm",68.6,288,0.784,15.6,4.9,0.698,3.41,3.55,10.7,"井口　和朋 F",6.9
"浦野　博司","F","Farm",89,360,0.595,15.3,7.2,0.782,1.52,3.52,8.1,"浦野　博司 F",56
"永川　勝浩","C","Farm",50.3,233,0.175,15.4,8.6,0.653,5.19,3.16,6.9,"永川　勝浩 C",40.3
"榎下　陽大","F","Farm",52.4,219,1.546,22.4,9.1,0.702,3.79,4.46,13.3,"榎下　陽大 F",13.4
"榎田　大樹","T","Farm",87,362,0.215,17.7,10.5,0.725,2.9,3.22,7.2,"榎田　大樹 T",41
"横山　貴明","E","Farm",72,312,0.624,17.3,8,0.687,3.38,3.44,9.3,"横山　貴明 E",53.7
"横山　弘樹","C","Farm",104,470,1.295,15.5,6.2,0.67,5.62,4.44,9.4,"横山　弘樹 C",77.7
"横山　雄哉","T","Farm",51,217,0.538,14.3,10.6,0.755,3.35,3.93,3.7,"横山　雄哉 T",30.7
"岡本　健","H","Farm",50,202,0.908,18.3,8.9,0.774,3.42,3.85,9.4,"岡本　健 H",21
"岡本　洋介","L","Farm",99.7,399,1.079,17.6,6.5,0.747,2.35,3.94,11,"岡本　洋介 L",33.7
"屋宜　照悟","F","Farm",72,313,0.762,14.4,5.8,0.685,3.88,3.72,8.6,"屋宜　照悟 F",72
"加治屋　蓮","H","Farm",127.3,521,0.636,21.3,6.5,0.719,3.11,3.14,14.8,"加治屋　蓮 H",121
"加藤　拓也","C","Farm",67.3,281,0.4,17.8,11.7,0.758,2.54,3.53,6.1,"加藤　拓也 C",38
"嘉弥真　新也","H","Farm",53,225,0.68,20,9.3,0.713,2.38,3.3,10.6,"嘉弥真　新也 H",15.7
"郭　俊麟","L","Farm",65,277,0.97,19.1,9.4,0.7,3.88,4.03,9.7,"郭　俊麟 L",42.7
"笠原　大芽","H","Farm",195.6,799,0.324,21.8,7.8,0.712,2.48,2.76,14,"笠原　大芽 H",187.3
"乾　真大","G","Farm",63.7,277,0.569,27.1,19.9,0.786,3.25,4.25,7.3,"乾　真大 G",56.1
"関谷　亮太","M","Farm",137.7,563,0.658,18.1,6.9,0.708,3.72,3.38,11.2,"関谷　亮太 M",15.7
"館山　昌平","S","Farm",114.7,471,0.225,17.2,7.4,0.695,3.38,2.93,9.7,"館山　昌平 S",62.7
"岸田　護","Bs","Farm",86.3,352,0.31,21.9,3.4,0.688,3.44,2.16,18.4,"岸田　護 Bs",68.6
"岩橋　慶侍","S","Farm",113.7,484,0.635,15.5,11.4,0.732,3.56,4.08,4.1,"岩橋　慶侍 S",94
"岩田　慎司","D","Farm",63.7,272,0.57,18.4,6.6,0.697,3.53,3.34,11.8,"岩田　慎司 D",63.4
"岩田　稔","T","Farm",113.3,487,1.43,19.3,6.2,0.68,3.73,4.27,13.1,"岩田　稔 T",51
"岩尾　利弘","L","Farm",94.3,431,0.284,18.6,10.4,0.642,4.01,3.21,8.1,"岩尾　利弘 L",91.3
"菊池　保則","E","Farm",120.7,503,1.341,18.9,7.2,0.724,3.65,4.37,11.8,"菊池　保則 E",90.7
"吉田　凌","Bs","Farm",116.7,506,1.016,15,10.3,0.697,3.78,4.57,4.8,"吉田　凌 Bs",116.7
"吉田　侑樹","F","Farm",203,857,0.621,17.1,7.5,0.693,3.59,3.38,9.6,"吉田　侑樹 F",184.7
"久保　康友","DB","Farm",103,450,0.789,12.7,5.1,0.673,4.46,3.75,7.6,"久保　康友 DB",-30.3
"宮川　将","E","Farm",68.3,282,1.051,18.5,8.2,0.745,3.69,4.09,10.3,"宮川　将 E",58.6
"宮國　椋丞","G","Farm",68.7,268,0.386,13.8,4.1,0.744,1.18,3.01,9.7,"宮國　椋丞 G",-28
"宮﨑　敦次","M","Farm",68.7,302,0.277,18.6,11.3,0.708,3.41,3.25,7.3,"宮﨑　敦次 M",58.7
"京山　将弥","DB","Farm",83.3,376,0.76,13.6,12,0.71,4.64,4.56,1.6,"京山　将弥 DB",83.3
"玉村　祐典","L","Farm",100,484,1.19,14,12.4,0.643,7.2,5.32,1.6,"玉村　祐典 L",100
"金子　丈","D","Farm",87.7,355,0.725,23.9,7.6,0.693,3.39,2.96,16.3,"金子　丈 D",86.7
"金森　敬之","M","Farm",76,337,0.723,16.4,8.6,0.69,4.97,3.7,7.7,"金森　敬之 M",75
"熊原　健人","DB","Farm",122.7,538,0.734,23.4,10,0.666,3.97,3.41,13.4,"熊原　健人 DB",73.7
"原　嵩","M","Farm",57.7,274,2.179,12.4,13.9,0.703,6.87,7.06,-1.5,"原　嵩 M",57.7
"古川　侑利","E","Farm",165.6,673,0.867,21.7,5.8,0.716,2.77,3.18,15.9,"古川　侑利 E",141.3
"古谷　拓哉","M","Farm",74,330,1.22,16,10.3,0.692,4.87,4.77,5.7,"古谷　拓哉 M",55.7
"戸根　千明","G","Farm",64.3,269,0.278,27.2,11.1,0.725,1.54,2.47,16,"戸根　千明 G",21.3
"戸村　健次","E","Farm",70.3,281,0.405,18.1,5,0.697,2.43,2.87,13.1,"戸村　健次 E",9.6
"戸田　隆矢","C","Farm",75.4,312,0.615,13.8,8.3,0.724,3.7,3.82,5.5,"戸田　隆矢 C",15.7
"江柄子　裕樹","G","Farm",129.3,528,0.416,18.6,6.2,0.735,2.37,3.08,12.3,"江柄子　裕樹 G",117.6
"高宮　和也","T","Farm",53.7,239,0.496,11.3,9.2,0.714,4.36,4.02,2.1,"高宮　和也 T",41
"高橋　樹也","C","Farm",99,425,0.672,14.4,4.7,0.681,5,3.31,9.7,"高橋　樹也 C",85.7
"高木　勇人","G","Farm",65,238,0.692,18.5,2.9,0.76,1.66,3.05,15.6,"高木　勇人 G",-77.3
"高野　圭佑","M","Farm",75,326,0.868,19,10.7,0.706,3.12,3.96,8.3,"高野　圭佑 M",49
"国吉　佑樹","DB","Farm",91,394,0.1,21.1,17.5,0.754,3.36,3.75,3.6,"国吉　佑樹 DB",81.3
"黒沢　翔太","M","Farm",115,473,0.547,16.9,3.6,0.719,2.82,2.87,13.3,"黒沢　翔太 M",107
"今井　啓介","C","Farm",69.3,287,0.251,15.3,8.4,0.743,2.33,3.24,6.9,"今井　啓介 C",64.3
"今村　信貴","G","Farm",160.4,656,0.624,21.7,6.7,0.705,2.53,2.99,15,"今村　信貴 G",76.8
"佐藤　峻一","Bs","Farm",55.3,253,1.14,13.4,5.5,0.646,7.32,4.35,7.9,"佐藤　峻一 Bs",48
"佐藤　祥万","C","Farm",51.3,200,0.173,17.5,6,0.757,2.1,2.56,11.5,"佐藤　祥万 C",42.7
"佐藤　世那","Bs","Farm",89,410,0.706,15.6,10.2,0.653,5.26,4.08,5.4,"佐藤　世那 Bs",89
"佐藤　優","D","Farm",67,275,0.274,21.4,7.6,0.701,2.56,2.64,13.8,"佐藤　優 D",26.7
"佐藤　勇","L","Farm",84.7,400,0.718,15,17.7,0.745,4.68,5.42,-2.7,"佐藤　勇 L",59.7
"佐野　泰雄","L","Farm",67.7,282,0.807,21.3,9.2,0.74,3.72,3.61,12.1,"佐野　泰雄 L",16.7
"砂田　毅樹","DB","Farm",90,402,1.113,20.9,7,0.639,5.2,3.73,13.9,"砂田　毅樹 DB",-12.6
"斎藤　佑樹","F","Farm",140.3,616,1.226,13.3,5.8,0.703,4.94,4.49,7.5,"斎藤　佑樹 F",94.6
"三ツ間　卓也","D","Farm",105.3,429,0.34,27.1,7.2,0.711,1.96,2.39,19.8,"三ツ間　卓也 D",73
"三浦　大輔","DB","Farm",89,390,0.81,13.6,4.9,0.65,5.56,3.66,8.7,"三浦　大輔 DB",74.3
"三嶋　一輝","DB","Farm",183,781,0.937,21,6.7,0.676,3.93,3.48,14.4,"三嶋　一輝 DB",141.3
"山田　修義","Bs","Farm",98.7,407,0.459,21.9,6.4,0.698,3.2,2.64,15.5,"山田　修義 Bs",28.1
"山田　大樹","H","Farm",222.3,883,0.487,18.7,4.6,0.744,2.02,2.92,14.1,"山田　大樹 H",201.3
"山本　翔也","T","Farm",82,332,0.434,19.9,6.3,0.732,2.63,3.01,13.5,"山本　翔也 T",71
"山﨑　福也","Bs","Farm",84.7,351,0.757,14.2,7.1,0.72,3.4,3.78,7.1,"山﨑　福也 Bs",-21.6
"児山　祐斗","S","Farm",55,258,0.98,9.7,9.3,0.658,5.73,4.88,0.4,"児山　祐斗 S",55
"寺原　隼人","H","Farm",65,263,0.693,16,7.2,0.759,3.05,3.64,8.7,"寺原　隼人 H",14.4
"寺田　哲也","S","Farm",63.3,276,0.85,14.9,7.2,0.699,5.68,4.04,7.7,"寺田　哲也 S",61.3
"篠原　慎平","G","Farm",52,208,0.376,23.1,8.2,0.736,1.55,2.65,14.9,"篠原　慎平 G",29.7
"若松　駿太","D","Farm",60.3,263,1.226,12.6,5.7,0.661,4.77,4.47,6.9,"若松　駿太 D",-90.7
"守屋　功輝","T","Farm",166.7,703,0.489,16.7,6,0.68,4,3.29,10.8,"守屋　功輝 T",158.4
"酒居　知史","M","Farm",65,247,0.69,27.9,7.3,0.779,2.35,2.68,20.6,"酒居　知史 M",13.3
"秋山　拓巳","T","Farm",119.7,481,0.377,20.2,4.6,0.699,2.1,2.52,15.6,"秋山　拓巳 T",-43.6
"小笠原　慎之介","D","Farm",68.4,308,0.529,18.5,12,0.713,4.61,3.74,6.5,"小笠原　慎之介 D",-108.9
"小熊　凌祐","D","Farm",120.7,523,0.61,14,5.4,0.684,3.58,3.46,8.6,"小熊　凌祐 D",49
"小山　雄輝","G","Farm",78,315,0.92,23.2,6.3,0.759,1.96,3.24,16.9,"小山　雄輝 G",65
"小野　淳平","C","Farm",62.4,266,0.586,16.2,3.4,0.684,3.47,2.91,12.8,"小野　淳平 C",55.1
"小林　寛","DB","Farm",60,267,0.776,18,7.5,0.662,5.55,3.71,10.5,"小林　寛 DB",56.7
"小澤　怜史","H","Farm",63.3,280,1.42,19.6,12.1,0.706,5.4,4.9,7.5,"小澤　怜史 H",61.3
"松田　遼馬","T","Farm",66.7,273,1.214,19.7,5.5,0.759,3.38,3.96,14.3,"松田　遼馬 T",4
"松本　直晃","L","Farm",92.3,432,0.678,11.6,13.9,0.704,5.46,4.95,-2.3,"松本　直晃 L",89.6
"松本　裕樹","H","Farm",80.3,341,0.331,14.9,6.2,0.714,3.25,3.07,8.8,"松本　裕樹 H",21
"上原　健太","F","Farm",98.6,449,0.359,18.5,11.8,0.658,4.74,3.48,6.7,"上原　健太 F",62.9
"上沢　直之","F","Farm",50.7,225,0.347,17.8,9.8,0.702,3.38,3.17,8,"上沢　直之 F",-27.3
"信樂　晃史","M","Farm",69.3,313,1.571,12.4,7.7,0.702,6.1,5.27,4.8,"信樂　晃史 M",69.3
"新垣　渚","S","Farm",84.3,358,0.64,13.4,8.4,0.692,4.7,3.9,5,"新垣　渚 S",54.6
"新垣　勇人","F","Farm",127.7,509,0.701,21.6,3.7,0.72,2.19,2.68,17.9,"新垣　勇人 F",117.4
"森　雄大","E","Farm",87.4,374,0.211,17.7,11.2,0.718,2.99,3.36,6.5,"森　雄大 E",67.1
"瀬川　隼郎","F","Farm",109.4,489,1.073,22.9,10,0.69,4.12,3.97,12.9,"瀬川　隼郎 F",108.4
"成瀬　善久","S","Farm",107,405,0.669,19.3,3.9,0.772,1.68,2.96,15.3,"成瀬　善久 S",18
"成田　翔","M","Farm",75,347,0.968,14.1,14.7,0.725,3.96,5.19,-0.6,"成田　翔 M",73.7
"星野　大地","H","Farm",60,274,0.58,19,12.4,0.671,4.5,3.93,6.6,"星野　大地 H",60
"西野　勇士","M","Farm",57,243,2.072,19.3,8.6,0.729,5.05,5.51,10.7,"西野　勇士 M",-6.7
"誠","L","Farm",93.3,386,0.771,21.5,8.3,0.737,2.79,3.45,13.2,"誠 L",79.6
"青山　大紀","Bs","Farm",144.7,641,0.68,13.7,5.9,0.678,5.1,3.77,7.8,"青山　大紀 Bs",136.7
"青柳　晃洋","T","Farm",95.7,417,0.388,18.5,12.2,0.719,3.2,3.74,6.3,"青柳　晃洋 T",-36.9
"石崎　剛","T","Farm",50.7,227,0.731,18.9,16.3,0.754,4.62,4.54,2.6,"石崎　剛 T",17
"石川　直也","F","Farm",74,304,1.089,21.7,7.9,0.728,3.41,3.88,13.8,"石川　直也 F",28.3
"川井　貴志","E","Farm",72.7,304,0.62,16.8,5.3,0.681,3.72,3.41,11.5,"川井　貴志 E",57.4
"川満　寛弥","M","Farm",100.3,465,0.72,18.3,13.8,0.684,5.02,4.47,4.5,"川満　寛弥 M",100.3
"浅尾　拓也","D","Farm",65.6,278,0.819,23.4,6.8,0.703,3.29,3.08,16.5,"浅尾　拓也 D",63.9
"宋　家豪","E","Farm",51.3,216,0.88,22.7,7.9,0.71,4.38,3.28,14.8,"宋　家豪 E",50.3
"大江　竜聖","G","Farm",56.7,224,0.64,20.1,8.5,0.748,2.54,3.31,11.6,"大江　竜聖 G",56.7
"大竹　寛","G","Farm",89.3,379,0.485,13.7,5.3,0.69,2.72,3.27,8.5,"大竹　寛 G",-71
"大塚　尚仁","E","Farm",54.6,241,0.332,16.6,7.9,0.698,2.96,3.35,8.7,"大塚　尚仁 E",51.3
"大隣　憲司","H","Farm",187,815,1.058,12.8,7.1,0.717,4.67,4.35,5.6,"大隣　憲司 H",177.3
"大嶺　祐太","M","Farm",68.7,305,0.78,10.2,11.5,0.707,4.32,4.97,-1.3,"大嶺　祐太 M",3.3
"竹安　大知","T","Farm",81.7,350,0.616,14,9.4,0.731,3.09,3.85,4.5,"竹安　大知 T",81.7
"竹下　真吾","S","Farm",71,353,0.507,17.9,22.7,0.684,5.71,5.62,-4.8,"竹下　真吾 S",68.3
"中川　皓太","G","Farm",69.3,288,0.646,19.8,7.6,0.723,2.34,3.31,12.1,"中川　皓太 G",49.3
"中村　恭平","C","Farm",155.7,671,0.641,12.2,7.6,0.709,3.76,3.89,4.6,"中村　恭平 C",120.7
"中村　勝","F","Farm",148,650,0.976,19.4,12.2,0.712,3.77,4.48,7.2,"中村　勝 F",126
"中村　祐太","C","Farm",88.6,365,0.922,20,7.4,0.735,3.85,3.65,12.6,"中村　祐太 C",22.9
"中塚　駿太","L","Farm",56.7,250,0.48,17.2,12.8,0.72,3.97,4,4.4,"中塚　駿太 L",56.7
"中田　賢一","H","Farm",64,271,0.55,18.5,5.5,0.692,2.67,3.13,12.9,"中田　賢一 H",-109.4
"中島　彰吾","S","Farm",114,504,0.631,14.7,6.9,0.705,3.95,3.79,7.7,"中島　彰吾 S",106.3
"中尾　輝","S","Farm",60.7,282,1.34,22.7,11,0.638,7.42,4.33,11.7,"中尾　輝 S",57.7
"長谷川　潤","G","Farm",147.4,600,0.987,11.8,5.7,0.736,3.36,4.33,6.2,"長谷川　潤 G",141.1
"塚田　貴之","Bs","Farm",66.7,299,0.396,19.4,13,0.751,3.24,3.87,6.4,"塚田　貴之 Bs",66.7
"辻　空","C","Farm",71,321,0.632,12.2,13.1,0.715,4.06,4.57,-0.9,"辻　空 C",71
"田原　啓吾","G","Farm",59.3,244,0.15,19.3,6.6,0.742,1.82,2.55,12.7,"田原　啓吾 G",59.3
"田川　賢吾","S","Farm",141.7,646,1.152,12.2,13.6,0.725,5.08,5.42,-1.4,"田川　賢吾 S",141.7
"田村　丈","DB","Farm",91.3,398,0.991,11.6,13.3,0.744,4.43,5.23,-1.7,"田村　丈 DB",91.3
"田中　太一","G","Farm",53.7,231,0.67,16,13.4,0.745,4.36,4.44,2.6,"田中　太一 G",53.7
"田中　豊樹","F","Farm",68,292,1.053,25.4,8.6,0.707,3.84,3.47,16.8,"田中　豊樹 F",45.7
"田中　靖洋","M","Farm",57.3,257,0.484,12.1,7,0.661,4.87,3.71,5.1,"田中　靖洋 M",29.3
"田面　巧二郎","T","Farm",109.4,483,0.914,15.3,14.3,0.723,4.61,4.95,1,"田面　巧二郎 T",105.1
"土肥　寛昌","S","Farm",91,403,0.488,18.2,10.4,0.706,3.37,3.62,7.7,"土肥　寛昌 S",80.7
"唐川　侑己","M","Farm",60,251,0.289,15.6,4.8,0.688,3.45,3.03,10.8,"唐川　侑己 M",-155
"島袋　洋奨","H","Farm",112,504,0.884,16.5,12.7,0.694,5.14,4.56,3.8,"島袋　洋奨 H",112
"島本　浩也","T","Farm",119,488,0.798,19.9,7.6,0.747,3.17,3.53,12.3,"島本　浩也 T",94.3
"東明　大貴","Bs","Farm",60.7,242,0,20.3,5.4,0.737,1.48,2.03,14.9,"東明　大貴 Bs",-74.3
"東條　大樹","M","Farm",56,232,0.325,26.8,11.6,0.761,2.09,3.04,15.1,"東條　大樹 M",27.3
"藤井　皓哉","C","Farm",63.3,300,1.15,13,15,0.684,6.25,5.61,-2,"藤井　皓哉 C",63.3
"藤岡　貴裕","M","Farm",72.3,303,0.608,17.8,10.6,0.708,2.62,3.79,7.3,"藤岡　貴裕 M",21.3
"藤原　良平","L","Farm",55,233,0.346,21.5,11.6,0.708,2.29,3.26,9.9,"藤原　良平 L",30.3
"藤平　尚真","E","Farm",79,322,0.8,28.3,12.1,0.753,2.96,3.37,16.2,"藤平　尚真 E",50.7
"藤浪　晋太郎","T","Farm",52,223,0.69,29.6,11.7,0.702,2.77,3.06,17.9,"藤浪　晋太郎 T",-176
"徳山　武陽","S","Farm",69.7,282,1.439,18.5,7.8,0.79,2.84,4.56,10.7,"徳山　武陽 S",65.4
"内海　哲也","G","Farm",75.7,312,0.357,20.5,4.5,0.684,3.33,2.58,16,"内海　哲也 G",-89.3
"南川　忠亮","L","Farm",85.6,369,0.74,16,9.5,0.706,4.31,4.19,6.5,"南川　忠亮 L",76.9
"入野　貴大","E","Farm",63.7,264,0.993,23.5,10.6,0.744,3.11,3.91,12.9,"入野　貴大 E",56.3
"梅野　雄吾","S","Farm",58,254,0.47,16.1,12.6,0.716,3.57,3.94,3.5,"梅野　雄吾 S",55
"白村　明弘","F","Farm",66.3,290,0.963,31.4,9,0.663,3.66,2.77,22.4,"白村　明弘 F",12.3
"八木　智哉","D","Farm",91.6,386,0.291,10.1,5.2,0.713,4.42,3.42,4.9,"八木　智哉 D",74.6
"八木　亮祐","S","Farm",61.3,266,1.03,18,9.4,0.684,4.11,4.25,8.6,"八木　亮祐 S",58.3
"飯塚　悟史","DB","Farm",133,557,0.342,12.9,8.3,0.719,3.05,3.58,4.6,"飯塚　悟史 DB",93
"飯田　哲矢","C","Farm",60,260,0.598,18.5,7.7,0.699,4.35,3.34,10.8,"飯田　哲矢 C",49.7
"飯田　優也","H","Farm",57.4,234,0.157,26.5,10.3,0.736,2.2,2.32,16.3,"飯田　優也 H",-5.6
"比嘉　幹貴","Bs","Farm",56,213,0.318,17.8,1.9,0.737,1.77,2.28,15.9,"比嘉　幹貴 Bs",41.4
"武田　勝","F","Farm",100,431,1.44,12.8,3.5,0.723,4.14,4.5,9.3,"武田　勝 F",99.7
"武藤　好貴","E","Farm",84.3,360,0.433,19.7,7.2,0.686,3.95,2.96,12.5,"武藤　好貴 E",81.3
"武藤　祐太","D","Farm",63.4,285,0.275,13.7,7,0.665,3.84,3.24,6.6,"武藤　祐太 D",58.1
"風張　蓮","S","Farm",100.3,421,0.18,24,9.5,0.705,2.69,2.5,14.5,"風張　蓮 S",86.3
"福井　優也","C","Farm",161,688,0.724,17.1,7.1,0.705,3.74,3.63,10,"福井　優也 C",56.6
"福永　春吾","T","Farm",69.3,302,0.13,17.2,11.9,0.698,3.12,3.21,5.3,"福永　春吾 T",65.3
"福倉　健太郎","L","Farm",63,283,0.303,9.5,8.8,0.697,3.28,3.76,0.7,"福倉　健太郎 L",46
"福谷　浩司","D","Farm",61.7,240,0.589,23.7,4.6,0.772,1.89,2.54,19.2,"福谷　浩司 D",-2
"福地　元春","DB","Farm",64.7,260,0.139,30.7,14.6,0.726,1.95,2.56,16.1,"福地　元春 DB",58
"平良　拳太郎","DB","Farm",90,383,1.5,14.6,7,0.704,4.3,4.78,7.5,"平良　拳太郎 DB",76
"平良　拳太郎","G","Farm",74,299,0.24,12.4,5.7,0.741,2.31,3.05,6.7,"平良　拳太郎 G",70.3
"豊田　拓矢","L","Farm",58,261,0.628,19.5,9.6,0.65,5.12,3.44,10,"豊田　拓矢 L",52
"望月　惇志","T","Farm",71.3,329,0.366,11.5,8.2,0.657,4.92,3.7,3.3,"望月　惇志 T",70.3
"本田　圭佑","L","Farm",147,622,0.896,16.9,9.2,0.705,3.98,4.11,7.7,"本田　圭佑 L",134.6
"木村　優太","M","Farm",68.7,298,1.05,16.1,6,0.723,3.54,4.09,10.1,"木村　優太 M",58
"野川　拓斗","DB","Farm",54,240,0.357,16.3,9.6,0.713,4,3.56,6.7,"野川　拓斗 DB",47
"野田　昇吾","L","Farm",68.7,298,0.525,18.8,9.7,0.704,3.8,3.51,9.1,"野田　昇吾 L",20.1
"由規","S","Farm",89,367,0.611,21.8,11.7,0.767,2.83,3.49,10.1,"由規 S",14
"雄太","D","Farm",58,261,0.47,14.6,5,0.631,4.5,3.1,9.6,"雄太 D",57.7
"立田　将太","F","Farm",142.4,640,0.704,17.3,12.3,0.7,4.11,4.15,5,"立田　将太 F",142.4
"鈴木　優","Bs","Farm",86,385,0.724,15.6,13,0.7,5.33,4.46,2.6,"鈴木　優 Bs",84.7
"國場　翼","L","Farm",70.7,322,0.384,15.2,13.4,0.691,4.07,4.13,1.9,"國場　翼 L",67.7
"塹江　敦哉","C","Farm",155.6,711,0.407,15.9,13.1,0.665,5.03,4.01,2.8,"塹江　敦哉 C",149.3
"攝津　正","H","Farm",138,566,0.84,16.8,6,0.713,3.2,3.6,10.8,"攝津　正 H",76.3
"濱矢　廣大","E","Farm",80.7,324,0.793,21.9,7.4,0.755,3.01,3.33,14.5,"濱矢　廣大 E",62.7
"齋藤　綱記","Bs","Farm",106.4,502,0.511,10.7,11.2,0.67,5.5,4.42,-0.4,"齋藤　綱記 Bs",102.4
"髙橋　光成","L","Farm",62,258,0.44,15.9,8.9,0.721,3.34,3.44,6.9,"髙橋　光成 L",-89.3
"髙橋　純平","H","Farm",87.3,388,0.939,16.2,15.2,0.75,4.02,5.05,1,"髙橋　純平 H",84.3
"髙木　伴","Bs","Farm",61.7,248,0.145,14.5,8.1,0.752,1.76,2.95,6.5,"髙木　伴 Bs",55.7
